"","year","gross","budget","genres1","genres2","genres3","genres4","genres5","genres6"
"224",2007,115802596,1.1e+08,"Adventure","Drama","Fantasy",NA,NA,NA
"225",2016,108521835,1.2e+08,"Action","Fantasy","Thriller",NA,NA,NA
"226",2003,100685880,1.2e+08,"Action","Thriller",NA,NA,NA,NA
"227",2012,126464904,1.3e+08,"Action","Adventure","Comedy","Crime",NA,NA
"228",2002,64736114,1.2e+08,"Adventure","Mystery","Sci-Fi",NA,NA,NA
"229",2013,93050117,1.15e+08,"Adventure","Animation","Comedy","Family","Fantasy",NA
"230",2004,57637485,1.05e+08,"Action","Drama","Sci-Fi","Thriller",NA,NA
"231",2014,58607007,1e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"232",2008,43929341,1.2e+08,"Action","Crime","Sci-Fi","Thriller",NA,NA
"233",2010,30212620,1.2e+08,"Action","Family","Sport",NA,NA,NA
"234",2010,76418654,1.17e+08,"Comedy","Drama","Romance",NA,NA,NA
"235",2013,89021735,1.2e+08,"Action","Comedy","Romance",NA,NA,NA
"236",2005,380262555,1.13e+08,"Action","Adventure","Mystery","Sci-Fi",NA,NA
"237",2002,310675583,1.15e+08,"Action","Adventure","Fantasy","Sci-Fi",NA,NA
"238",2001,289907418,1.15e+08,"Action","Adventure","Fantasy","Sci-Fi",NA,NA
"239",2013,132550960,1.2e+08,"Adventure","Animation","Comedy","Family","Fantasy",NA
"240",1999,474544677,1.15e+08,"Action","Adventure","Sci-Fi","Thriller",NA,NA
"241",2013,187165546,1.35e+08,"Action","Adventure","Fantasy","Sci-Fi",NA,NA
"242",2008,NA,7.8e+07,"Adventure","Animation","Comedy","Family","Fantasy",NA
"243",2002,40911830,1.15e+08,"Adventure","Comedy","Family","Fantasy",NA,NA
"244",2016,47952020,1.15e+08,"Action","Drama","War",NA,NA,NA
"245",2014,190871240,1.25e+08,"Action","Adventure","Drama","Fantasy",NA,NA
"246",2013,274084951,1e+08,"Action","Adventure","Comedy","Sci-Fi",NA,NA
"247",1997,67155742,1.16e+08,"Adventure","Drama","Sci-Fi","Thriller",NA,NA
"248",2016,81638674,1.35e+08,"Action","Adventure","Thriller",NA,NA,NA
"249",2015,56114221,1.2e+08,"Action","Adventure","Comedy","Sci-Fi",NA,NA
"250",2006,250863268,1.1e+08,"Action","Adventure","Sci-Fi",NA,NA,NA
"251",2015,155181732,1.1e+08,"Action","Adventure","Comedy","Family","Fantasy",NA
"252",1997,125332007,1.1e+08,"Action","Adventure","Drama","Thriller",NA,NA
"253",2000,113330342,1.1e+08,"Action","Adventure","Thriller",NA,NA,NA
"254",2004,125531634,1.1e+08,"Action","Drama","History","War",NA,NA
"255",2005,186336103,1.2e+08,"Crime","Thriller",NA,NA,NA,NA
"256",2015,129995817,1.1e+08,"Action","Comedy","Crime","Romance","Thriller",NA
"257",2004,102608827,1.1e+08,"Adventure","Sci-Fi","Thriller",NA,NA,NA
"258",2010,42776259,1.12e+08,"Biography","Drama",NA,NA,NA,NA
"259",2011,98780042,1.2e+08,"Adventure","Comedy","Family","Fantasy",NA,NA
"260",NA,NA,NA,"Action","Comedy","Crime","Sci-Fi","Thriller",NA
"261",2014,106369117,1.1e+08,"Action","Adventure","Crime",NA,NA,NA
"262",2011,142614158,1.1e+08,"Action","Drama","Fantasy","War",NA,NA
"263",2004,50026353,1.1e+08,"Adventure","Animation","Comedy","Family","Fantasy",NA
"264",2016,66002193,1.1e+08,"Animation","Comedy","Family","Music","Western",NA
"265",2011,85463309,1.1e+08,"Action","Adventure","Mystery","Sci-Fi","Thriller",NA
"266",2013,71017784,1.05e+08,"Action","Drama","Sci-Fi","Sport",NA,NA
"267",1997,48068396,1.6e+08,"Adventure","Animation","Comedy","Family","Fantasy",NA
"268",2013,61656849,1.1e+08,"Action","Crime","Romance","Thriller",NA,NA
"269",2007,134520804,1.1e+08,"Action","Sci-Fi",NA,NA,NA,NA
"270",2001,313837577,9.3e+07,"Action","Adventure","Thriller",NA,NA,NA
"271",2004,24004159,1.1e+08,"Action","Adventure","Drama","Fantasy",NA,NA
"272",2001,58183966,1.07e+08,"Action","Adventure","Comedy",NA,NA,NA
"273",2003,100446895,1.09e+08,"Biography","Drama","Sport",NA,NA,NA
"274",2004,144795350,1.2e+08,"Adventure","Comedy","Family","Fantasy",NA,NA
"275",2005,47396698,1.3e+08,"Action","Mystery","Sci-Fi","Thriller",NA,NA
"276",1999,140015224,1.33e+08,"Action","Adventure","Drama","History","War",NA
"277",2009,104374107,1.05e+08,"Adventure","Comedy","Family","Fantasy",NA,NA
"278",2015,228430993,1.08e+08,"Animation","Family","Fantasy","Musical","Romance",NA
"279",NA,NA,NA,"Adventure","Drama","Sci-Fi",NA,NA,NA
"280",2005,35799026,1.26e+08,"Comedy",NA,NA,NA,NA,NA
"281",2001,6712451,9e+07,"Action","Adventure","Romance","Sci-Fi","Thriller",NA
"282",2000,101643008,9e+07,"Comedy","Romance",NA,NA,NA,NA
"283",2000,187670866,1.03e+08,"Action","Crime","Thriller",NA,NA,NA
